id,name,website,description,hq_country
amphora-logistics,Amphora Logistics,https://www.amphoralogistics.com,Amphora Logistics is a technology company specializing in e-commerce fulfillment and logistics software for 3PL operations.,ES
anduril-industries,Anduril Industries,https://www.anduril.com,Anduril is a defense technology company building autonomous systems and software for military and national security.,NZ
antler,Antler,https://www.antler.co,Antler is a global early-stage venture capital firm that partners with exceptional founders to build and invest in technology companies.,SG
apartments-com-au,Apartments.com.au,https://www.apartments.com.au,Apartments.com.au is an Australian property portal focusing on new and off-the-plan apartment developments.,AU
apd-global,APD Global,https://growthops.asia,APD (now part of GrowthOps) is a marketing transformation agency providing digital strategy and experiences across APAC.,PH
apd-s-a,APD S.A.,https://gapd.es,APD (Algoritmos Procesos y Diseños) is a Spanish innovation and engineering firm providing high-value technology solutions.,ES
apollinaris,Apollinaris,https://www.apollinaris.de,"Apollinaris is a premium German mineral water brand, part of the Coca-Cola Company portfolio.",DE
appdrawn-software-development,Appdrawn Software Development,https://www.appdrawn.com,Appdrawn is a UK-based software development agency specializing in custom web and mobile applications.,UK
appian,Appian,https://www.appian.com,Appian is a low-code automation platform that enables organizations to rapidly build and deploy custom business applications.,US
applinet-sl,Applinet SL,https://applinet.es,Applinet is a Spanish technology company providing managed services and cloud solutions for businesses.,ES
appoint-pty-ltd,Appoint Pty Ltd,https://www.appointrecruit.com.au,Appoint Recruit is a specialist recruitment firm providing talent acquisition services for various industry sectors.,AU
apprentus,Apprentus,https://www.apprentus.com,"Apprentus is a leading European online community for private lessons, connecting students with trustable tutors.",UK
appsgenii-technologies,AppsGenii Technologies,https://www.appsgenii.com,"AppsGenii Technologies is a software development house specializing in mobile app growth, UI/UX, and enterprise solutions.",PK
araza,Araza,https://www.araza.com.au,"Araza is a leading Australian technology consultancy specializing in software delivery, cloud, and digital transformation.",AU
arcadian-digital,Arcadian Digital,https://www.arcadiandigital.com.au,Arcadian Digital is an Australian technology agency specializing in software engineering and digital product design.,AU
arcus-recruitment,Arcus Recruitment,https://www.arcusrecruitment.com,Arcus Recruitment is a specialist technical recruitment firm focused on algorithmic trading and low-latency engineering roles.,UK
asana,Asana,https://asana.com,Asana is a leading web and mobile work management platform designed to help teams organize and manage their work.,US
ascendion,Ascendion,https://ascendion.com,"Ascendion is a digital engineering services company providing AI-first software engineering, data, and platform services.",US
asesoria-informatica-torrelavega,Asesoria Informatica Torrelavega,https://www.aitt.es,"Asesoría Informática Torrelavega (AIT) provides comprehensive IT services, system maintenance, and digital transformation solutions.",ES
asic,ASIC,https://asic.gov.au,"The Australian Securities and Investments Commission (ASIC) is Australia's integrated corporate, markets, and financial services regulator.",AU
assembl-talent,Assembl Talent,https://www.assembltalent.com.au,Assembl Talent is an Australian recruitment firm specializing in the technology and digital advertising sectors.,AU
assurity-consulting,Assurity Consulting,https://assurity.nz,"Assurity Consulting is a New Zealand consultancy specializing in quality engineering, digital delivery, and software testing.",NZ
astek,Astek,https://www.astekgroup.fr,Astek is a global engineering and technology consulting firm supporting digital transformation and R&D outsourcing.,FR
athos-commerce,Athos Commerce,https://athos.io,Athos is an Australian-based commerce platform providing integrated solutions for digital and retail businesses.,AU
attekus,Attekus,https://www.attekus.com.au,Attekus provides enterprise-grade booking and event management solutions for government and education sectors.,AU
atturra,Atturra,https://atturra.com,"Atturra is an ASX-listed Australian technology services business specializing in advisory, business applications, and IT solutions.",AU
aubay-spain,Aubay Spain,https://www.aubay.es,"Aubay Spain is part of the Aubay Group, a leading European technology consultancy and digital services firm.",FR
aubay,Aubay,https://www.aubay.com,"Aubay is a pan-European digital services company providing IT consulting, application services, and digital transformation.",NZ
auckland-airport,Auckland Airport,https://www.aucklandairport.co.nz,"Auckland Airport is New Zealand's largest and busiest international gateway, welcoming millions of passengers annually.",NZ
auren,AUREN,https://www.auren.com,"Auren is a multidisciplinary professional services firm providing audit, legal, and consulting services in Spain.",ES
ausiex,AUSIEX,https://www.ausiex.com.au,"AUSIEX is an Australian wholesale stockbroking firm providing execution, clearing, and settlement services to financial institutions.",AU
australian-retirement-trust,Australian Retirement Trust,https://www.australianretirementtrust.com.au,"Australian Retirement Trust is one of Australia's largest superannuation funds, formed by the merger of Sunsuper and QSuper.",AU
autoform-group,AutoForm Group,https://www.autoform.com,AutoForm Group is a global leader in software solutions for metal forming simulation and die-making industries.,CH
autoguru,AutoGuru,https://www.autoguru.com.au,"AutoGuru is Australia's \#1 booking site for car servicing and repairs, connecting car owners with local mechanics.",AU
autorfp-ai,AutoRFP.ai,https://www.autorfp.ai,"AutoRFP.ai provides AI-powered software to automate responses to RFPs, security questionnaires, and RFIs.",AU
avanade,Avanade,https://www.avanade.com,"Avanade is a global professional services firm specializing in digital, cloud, and advisory services on the Microsoft ecosystem.",US
avance-consulting,Avance Consulting,https://www.avanceservices.com,Avance Consulting is a global recruitment and talent solution firm specializing in IT staffing and executive search.,UK
axcelerate,aXcelerate,https://www.axcelerate.com.au,aXcelerate is a leading student management system and learning management system for the Australian VET sector.,AU
axis-data-s-l-u,Axis Data S.L.U.,https://www.axisdata.es,Axis Data is an IT services provider specializing in software development and technology solutions for the tourism sector.,ES
axle-capital,Axle Capital,https://www.axlecapital.com.au,Axle Capital is an Australian non-bank finance partner providing flexible funding solutions for small and medium businesses.,AU
b-braun-group,B. Braun Group,https://www.bbraun.com,"B. Braun is a leading global medical device and pharmaceutical company providing products for anesthesia, surgery, and more.",DE
b2brouter,B2Brouter,https://www.b2brouter.net,"B2Brouter is a cloud-based platform for electronic invoicing and business management, supporting global EDI standards.",ES
bable-smart-cities,BABLE Smart Cities,https://www.bable-smartcities.eu,BABLE Smart Cities is a European platform and consultancy dedicated to accelerating urban innovation and smart city projects.,DE
balance-recruitment,Balance Recruitment and Balance Consulting,https://www.balancerecruitment.com.au,Balance Recruitment is a specialist Australian recruitment agency providing talent solutions for the tech and business sectors.,AU
basis,Basis,https://www.basisnz.co.nz,"Basis is a New Zealand engineering firm specializing in solar, electrical, and sustainable energy solutions.",NZ
bcnc-group,BCNC GROUP,https://bcncgroup.com,BCNC Group is a Spanish IT services and engineering consultancy focusing on digital talent and software solutions.,ES
bee-line-ready-mix,Bee Line Ready Mix,https://www.beelineremix.com.au,Bee Line Ready Mix is an Australian provider of concrete and ready-mix solutions for construction and landscaping projects.,AU
beincrypto,BeInCrypto,https://beincrypto.com,BeInCrypto is a leading news website and ecosystem for the cryptocurrency and blockchain industry.,VG
bellroy,Bellroy,https://bellroy.com,"Bellroy is a world-renowned Australian brand designing carry goods, including wallets, bags, and accessories.",AU
bemobile,Bemobile,https://www.bemobile.es,BeMobile is a Spanish mobile technology agency specializing in app design and development for iOS and Android.,ES
betashares,Betashares,https://www.betashares.com.au,Betashares is a leading Australian fund manager specializing in exchange-traded funds (ETFs).,AU
billigence,Billigence,https://www.billigence.com,Billigence is an Australian Business Intelligence and data analytics consultancy helping organizations leverage data as a strategic asset.,AU
bixie,Bixie,https://bixie.ai,Bixie is an Australian fintech platform designed to empower women to gain financial literacy and grow their wealth.,AU
black-sash,Black Sash,https://www.blacksash.org.za,Black Sash is a non-profit human rights organization in South Africa focused on social justice and constitutional rights.,ZA
blackroc-recruitment,BLACKROC Recruitment,https://blackroc.co,"BLACKROC is a specialist technology and digital recruitment agency based in Queensland, Australia.",AU
bluecurrent-australia-new-zealand,Bluecurrent Australia & New Zealand,https://www.bluecurrent.com.au,Bluecurrent is a leading smart metering and energy management service provider across Australia and New Zealand.,NZ
bluetab-an-ibm-company,"Bluetab, an IBM Company",https://www.bluetab.net,"Bluetab is an IT services company specializing in Big Data, Analytics, and Cloud strategy, part of IBM.",ES
bond-software,Bond Software,https://bond.software,Bond Software provides member-centric CRM and membership experience platforms for associations and unions.,AU
boon-solutions,Boon Solutions,https://www.boon.com.au,"Boon Solutions is an Australian IT consulting firm specializing in data analytics, AI, and cloud integration.",AU
boston-consulting-group-bcg,Boston Consulting Group (BCG),https://www.bcg.com,Boston Consulting Group (BCG) is a global management consulting firm and one of the world's leading advisors on business strategy.,US
breadcrumb,Breadcrumb,https://www.breadcrumb.com.au,Breadcrumb Digital is an Australian cybersecurity and digital transformation consultancy.,AU
brg,BRG,https://www.thinkbrg.com,"Berkeley Research Group (BRG) is a global consulting firm that helps organizations in the areas of disputes, investigations, and strategy.",US
bridge-it-engineering,Bridge IT Engineering,https://bridgeit.co.nz,Bridge IT is a New Zealand recruitment and consulting firm specializing in engineering and technical talent.,NZ
brunswick-marine-in-emea,Brunswick Marine in EMEA,https://www.brunswick.com,"Brunswick Marine is a leader in the global marine industry, providing propulsion systems, boats, and parts/accessories.",US
bryk-group,BRYK Group,https://www.bryk.com.au,BRYK Group is an Australian technology services provider specializing in software development and digital integration.,AU
bunnings,Bunnings,https://www.bunnings.com.au,Bunnings is Australia's leading retailer of home improvement and outdoor living products.,AU
bureau-veritas-north-america,Bureau Veritas North America,https://www.bureauveritas.com,"Bureau Veritas is a world leader in testing, inspection, and certification (TIC) services across multiple industries.",FR
byd-harmony-auto-australia,BYD Harmony Auto Australia,https://www.bydautomotive.com.au,BYD Australia is the local division of the global electric vehicle and sustainable technology giant.,CN
c-vica,Cívica,https://www.civica-soft.com,"Cívica is a Spanish technology consultancy specializing in data engineering, Business Intelligence, and customized software solutions.",AR
caixabank-asset-management,CaixaBank Asset Management,https://www.caixabankassetmanagement.com,"CaixaBank Asset Management is the leading investment fund manager in Spain, providing expert wealth and asset management services.",ES
caixabank-tech,CaixaBank Tech,https://www.caixabanktech.com,"CaixaBank Tech is the technology branch of the CaixaBank Group, driving digital transformation and innovation in financial services.",ES
cambrian-intelligence-sl,Cambrian Intelligence SL,https://www.cambrianintelligence.com,"Cambrian Intelligence specializes in advanced AI, computer vision, and geospatial intelligence solutions for complex environments.",ES
camilla,CAMILLA,https://camilla.com,CAMILLA is an iconic Australian luxury fashion brand known for its vibrant prints and artisanal craftsmanship.,NZ
capgemini-engineering,Capgemini Engineering,https://www.capgemini.com,Capgemini Engineering provides world-leading engineering and R&D services to help companies innovate in the digital age.,FR
capgemini-invent,Capgemini Invent,https://www.capgemini.com,"Capgemini Invent is the digital innovation, consulting, and transformation brand of the Capgemini Group.",FR
capitole,Capitole,https://www.capitole-consulting.com,Capitole Consulting is an IT consultancy providing engineering services and digital transformation expertise across multiple industries.,ES
carecone-group,CareCone Group,https://www.carecone.com,"CareCone Group provides IT consulting, professional staffing, and managed services for global enterprises.",IN
careers-at-council,Careers at Council,https://www.careersatcouncil.com.au,Careers at Council is the premier job board for local government roles across Australia and New Zealand.,AU
careerus-solutions,CareerUS Solutions,https://careerus.in,CareerUS Solutions is an Indian recruitment firm providing talent acquisition and workforce solutions for various industries.,IN
catalyst-funds-management,Catalyst Funds Management,https://catalystfm.com.au,Catalyst Funds Management is an Australian boutique fund manager specializing in listed property and real estate securities.,AU
catemo,Catemo,https://catemo.es,"Catemo provides business services and technological support in Spain, focusing on professional management and consulting.",ES
caterpillar-inc,Caterpillar Inc.,https://www.caterpillar.com,"Caterpillar is the world's leading manufacturer of construction and mining equipment, diesel and natural gas engines, and industrial gas turbines.",US
cause-and-fx,CAUSE AND FX,https://www.causeandfx.nz,Cause and FX is a premier New Zealand visual effects studio providing high-end VFX for international film and television projects.,NZ
centrapay,centrapay,https://centrapay.com,Centrapay provides a payments and rewards platform that enables digital transactions and asset transfers using QR technology.,NZ
centum-research-technology,CENTUM research & technology,https://www.centum-rt.com,CENTUM RT is a Spanish technology company specializing in airborne mission systems and cellular location technology.,ES
champion-data,Champion Data,https://www.championdata.com,"Champion Data is a global leader in sports data collection, analysis, and visualization services for media and professional teams.",AU
change-recruitment,Change Recruitment,https://www.changerecruitment.com.au,"Change Recruitment is an Australian consultancy specializing in accounting, finance, and technical recruitment.",AU
chapter-one,Chapter One,https://www.chapterone.com,Chapter One is a technology-focused venture capital firm investing in early-stage startups and Web3 innovations.,US
checkbox,Checkbox,https://www.checkbox.ai,"Checkbox is a no-code automation platform that enables legal, HR, and compliance teams to automate complex manual processes.",AU
cheil-new-zealand,Cheil New Zealand,https://www.cheil.com/nz,Cheil New Zealand is a global marketing and communications agency providing data-driven creative and retail marketing solutions.,NZ
chubb,Chubb,https://www.chubb.com/nz,"Chubb is the world's largest publicly traded property and casualty insurance company, providing diverse insurance solutions in New Zealand.",NZ
chuffed-org,Chuffed.org,https://chuffed.org,Chuffed.org is a social enterprise crowdfunding platform dedicated to supporting non-profits and social causes globally.,AU
cipex,CIPEx - Consejo de Ingenieros Peruanos en el EXterior,https://cipex.net,"CIPEx is a council and network for Peruvian engineers based abroad, facilitating professional development and networking.",PE
circuit-recruitment-group,Circuit Recruitment Group,https://www.circuitrecruitment.com.au,Circuit Recruitment is an Australian specialist technology recruitment firm connecting top digital talent with employers.,AU
cisco,Cisco,https://www.cisco.com,"Cisco is a global leader in networking, security, and unified communications technology helping businesses connect and protect their digital assets.",US
city-of-sydney,City of Sydney,https://www.cityofsydney.nsw.gov.au,"The City of Sydney is the local government authority for the central business district and surrounding suburbs of Sydney, Australia.",AU
citycare-water,Citycare Water,https://www.citycarewater.co.nz,"Citycare Water is a leading provider of water infrastructure services in New Zealand, managing critical water networks.",NZ
civica,Civica,https://www.civica.com,"Civica is a global leader in public sector software, providing critical technology solutions to improve public services.",UK
cleared-recruitment,Cleared Recruitment,https://www.clearedrecruitment.com.au,Cleared Recruitment is a specialist Australian agency providing talent solutions for the defense and national security sectors.,AU
clearml,ClearML,https://clear.ml,ClearML is a leading open-source MLOps platform that provides a unified suite for managing and automating machine learning workflows.,IL
clearroute,ClearRoute,https://clearroute.io,"ClearRoute is an Australian technology consultancy specializing in test automation, DevOps, and cloud quality engineering.",AU
codeway,Codeway,https://www.codeway.co,Codeway is a mobile app studio creating high-growth consumer applications and games using advanced AI and engineering.,TR
codurance,Codurance,https://www.codurance.com,"Codurance is a global technology consultancy focused on software craftsmanship, clean code, and technical excellence.",NZ
cofrico,Cofrico,https://www.cofrico.com,"Cofrico is a Spanish leader in industrial and commercial refrigeration, providing energy-efficient climate control solutions.",ES
colabyr,Colabyr,https://colabyr.co.nz,Colabyr is a New Zealand software consultancy focusing on collaborative technology and digital transformation.,NZ
community-housing-ltd,Community Housing Ltd,https://communityhousing.org.nz,"Community Housing Aotearoa (CHA) is the peak body for the community housing sector in New Zealand, advocating for sustainable housing.",NZ
compass-education,Compass Education,https://www.compass.education,Compass Education provides a comprehensive school management platform to streamline administration and enhance communication.,AU
complexio,Complexio,https://complexio.com,Complexio develops an AI integrated platform to automate complex business processes and data analysis for global commerce and shipping.,NZ
computershare-australia,Computershare Australia,https://www.computershare.com/au,"Computershare is a global leader in financial administration, providing registry services and employee equity plan management.",AU
concentrio-ag,Concentrio AG,https://concentrio.io,"Concentrio provides software solutions for analyzing complex system interdependencies, primarily for the automotive industry.",DE
constructor-tech,Constructor Tech,https://constructor.tech,Constructor Tech provides an AI-powered software platform for the full lifecycle of education and scientific research.,CH
contented,Contented,www.contentedai.com,"We believe all human conversation should be able to be turned into extraordinary outcomes. Our tool turns voice audio into incredible outputs- accurate rich insights, thoughtful summaries and user research findings and information modelling. Capturing every word and transforming it in ways you could never imagine.

For employment opportunities & expressions of interest, please apply here: http://bit.ly/3OewGaZ",NZ
convotis-iberia,CONVOTIS Iberia,https://www.convotis.com,"CONVOTIS provides managed IT services, cloud solutions, and digital business process optimization across Europe.",DE
copreci,Copreci,https://www.copreci.com,Copreci is a Spanish cooperative and global leader in the design and manufacture of components for household appliances.,ES
corde,CORDE,https://corde.nz,"CORDE is a New Zealand civil construction and engineering firm specializing in infrastructure, roading, and subdivision projects.",AU
core-dna,Core dna,https://www.coredna.com,Core dna is an Australian-developed all-in-one digital experience platform (DXP) for e-commerce and marketing.,AU
corpay,Corpay,https://www.corpay.com,"Corpay is a global leader in business payments, helping companies track, manage, and pay their expenses efficiently.",US
corporaci-n-jim-nez-ma-a,CORPORACIÓN JIMÉNEZ MAÑA,https://www.corporacionjimenezmana.com,Corporación Jiménez Maña is a prominent Spanish business group primarily involved in automotive parts distribution and management services.,ES
costa,Costa,https://www.costagroup.com.au,"Costa Group is Australia's leading horticultural company, specializing in the production and supply of premium fresh produce.",AU
cotton-on-group,Cotton On Group,https://cottonongroup.com.au,Cotton On Group is a global fashion retailer known for providing affordable and trendy clothing across multiple brands.,AU
cquniversity,CQUniversity,https://www.cqu.edu.au,CQUniversity Australia is a leading regional university providing accessible and high-quality education and research.,AU
crc-obras-y-servicios,CRC Obras y Servicios,https://www.crc-obras.com,"CRC Obras y Servicios is a Spanish construction company specializing in civil engineering, building, and urban maintenance.",ES
crealogix,CREALOGIX,https://crealogix.com,CREALOGIX is a global fintech leader providing digital banking solutions to enhance customer experience for financial institutions.,CH
credera,Credera,https://www.credera.com,"Credera is a global consulting firm focused on digital transformation, data, and technology strategy.",US
creditorwatch,CreditorWatch,https://www.creditorwatch.com.au,CreditorWatch is an Australian commercial credit reporting bureau providing credit management tools for businesses.,AU
crescenta,Crescenta,https://www.crescenta.com,"Crescenta is Spain's first digital fund manager for Private Equity, democratizing access to high-yield private market investments.",NZ
crisalix,Crisalix,https://www.crisalix.com,Crisalix is a pioneer in 3D and 4D simulation software for plastic surgery and aesthetic procedures.,CH
crypto-com,Crypto.com,https://crypto.com,Crypto.com is a leading cryptocurrency exchange and digital finance platform serving millions of users globally.,SG
csg-talent,CSG Talent,https://www.csgtalent.com,CSG Talent is a global executive search firm specializing in senior-level recruitment across niche technical and commercial sectors.,UK
cuatroochenta,Cuatroochenta,https://cuatroochenta.com,Cuatroochenta is a Spanish technology company specializing in developing digital solutions and software for business productivity.,ES
cubewire,Cubewire,https://cubewire.com,Cubewire is a unified blockchain platform redefining payments and finance using Web3 technologies and secure MPC protocols.,ES
cuscal-limited,Cuscal Limited,https://www.cuscal.com.au,Cuscal is a leading independent provider of payment and banking infrastructure in Australia.,AU
cybernetyx,Cybernetyx,https://www.cybernetyx.com,Cybernetyx is a pioneer in interactive technology and AI-driven human-machine interfaces for education and enterprise.,DE
cygnus-consulting,Cygnus Consulting,https://www.cygnusconsulting.com.au,"Cygnus Consulting is a digital transformation agency in Australia focusing on AI, data insights, and cloud engineering.",AU
d-matrix,d-Matrix,https://d-matrix.ai,d-Matrix is a US startup developing innovative chiplet-based AI compute platforms for data center inference.,US
dashbook,DashBook,https://dashbook.com,DashBook provides royalty accounting software for book publishers and rights holders to manage complex payments.,US
data-3,Data#3,https://www.data3.com,Data#3 is a leading Australian IT solutions provider delivering digital transformation through consulting and technology services.,AU
data-action,Data Action,https://www.dataaction.com.au,Data Action provides core banking and digital technology solutions for credit unions and smaller financial institutions in Australia.,AU
datadope,Datadope,https://datadope.io,Datadope is a Spanish technology company specializing in AIOps and observability solutions to optimize IT operations.,ES
dataengine,dataengine,https://www.dataengine.co.nz,"dataengine is a New Zealand data consultancy specializing in data engineering, analytics, and cloud-based data platforms.",NZ
davidson,Davidson,https://www.davidsonwp.com,Davidson is a leading recruitment and workplace performance consultancy operating across Australia and New Zealand.,NZ
davinci-ti,Davinci TI,https://www.davinciti.com,"Davinci TI is an IT consulting firm specializing in secure digital platforms, cloud architecture, and data analytics.",ES
deale,Deale,https://www.deale.es,Deale is a digital M&A platform that connects SMEs with investors and advisors to streamline the business sale process.,ES
decskill-espa-a,Decskill España,https://www.decskill.com,"Decskill is a European IT services provider offering outsourcing, managed services, and specialized talent solutions.",PT
delfos-energy,Delfos Energy,https://delfos.energy,Delfos is a Spanish energy software company providing AI-powered predictive maintenance and asset management for renewables.,ES
dematic,Dematic,https://www.dematic.com,"Dematic is a global leader in intelligent automated solutions for manufacturing, warehouse, and distribution environments.",US
dempo,Dempo,https://dempos.com,"Dempo Group is a leading Indian conglomerate with interests in mining, shipbuilding, and food processing.",IN
destinus,Destinus,https://destinus.com,Destinus is a Swiss European aerospace company developing hypersonic aircraft for ultra-fast transportation and clean hydrogen propulsion.,CH
deutsche-bank,Deutsche Bank,https://www.db.com,Deutsche Bank is a leading German investment bank and financial services company with a global network.,DE
developxr,developXR,https://www.developxr.com.au,"developXR is an Australian technology studio specializing in augmented, virtual, and mixed reality solutions for enterprise.",AU
devision-recruitment,DeVision Recruitment,https://www.devisionrecruitment.com.au,DeVision Recruitment is a specialist Australian agency focusing on technology and digital talent acquisition.,ES
devo,Devo,https://www.devo.com,Devo is a cloud-native logging and security analytics platform that helps organizations maximize the value of their data.,US
digicert,DigiCert,https://www.digicert.com,"DigiCert is a global leader in digital security, providing SSL certificates and PKI solutions for identity and encryption.",US
discovered-people,Discovered People,https://www.discoveredpeople.com.au,Discovered People is a specialist technology recruitment agency in Australia focusing on high-growth startups and tech firms.,AU
dispensed-global,Dispensed Global,https://www.dispensed.com.au,Dispensed is an Australian telehealth platform specializing in personalized medical treatments and wellness solutions.,AU
dius,DiUS,https://dius.com.au,"DiUS is an Australian technology consultancy specializing in digital product development, AI, and cloud engineering.",AU
dl-remote,DL Remote,https://dl-remote.com,DL Remote is a recruitment platform connecting top-tier remote talent from South America and Europe with global companies.,DE
dlocal,dLocal,https://dlocal.com,dLocal is a leading cross-border payment platform connecting global merchants with billions of consumers in emerging markets.,UY
doofinder,Doofinder,https://www.doofinder.com,Doofinder is a leading e-commerce search engine that uses AI to provide relevant results and increase sales for online stores.,ES
drawboard,Drawboard,https://www.drawboard.com,"Drawboard provides PDF markup and collaboration software designed to help architecture, engineering, and construction teams.",AU
drees-sommer-espa-a,Drees & Sommer España,https://www.dreso.es,"Drees & Sommer is a leading European consulting, planning, and project management enterprise for the construction and real estate sector.",DE
dronedeploy,DroneDeploy,https://www.dronedeploy.com,DroneDeploy is a leading aerial reality capture platform that provides drone mapping and site documentation software.,US
duco-limited,Duco Limited,https://duco.net.au,"Duco Limited is an Australian IT services provider offering managed services, cloud solutions, and cybersecurity.",AU
dx1,DX1,https://www.dx1app.com,DX1 provides a complete dealership management platform for the powersports and marine industries.,US
dxc-aus-nz,DXC Technology - Australia and New Zealand,https://www.dxc.com/au,DXC Technology is a global IT services leader that helps companies run their mission-critical systems and operations.,US
dynamic-macroweb-design-s-l,Dynamic MacroWeb & Design S.L.,https://macroweb.es,"Dynamic Macroweb is a Spanish digital agency specializing in web design, SEO, and online marketing.",ES
easygo,Easygo,https://easygo.io,Easygo is an Australian technology startup specializing in high-performance digital products and operator of major online gaming platforms.,AU
ebury,Ebury,https://www.ebury.com,"Ebury is a global fintech firm providing international payments, currency exchange, and trade finance for businesses.",UK
echo-base-global,Echo Base Global,https://www.echobase.com.au,"Echo Base is a specialist recruitment consultancy in Australia focusing on supply chain, logistics, and data analytics talent.",AU
